Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
423.437103	365000	1.933697	1.933697	1.933697	1.624959	2.298322	1.840985	1.901951	1.923303	2.012009
423.516571	370000	1.926050	1.926050	1.926050	1.712916	1.850139	1.879125	1.850050	1.907554	1.893962
423.587402	375000	1.918008	1.918008	1.918008	1.810938	1.823653	1.907441	1.941559	1.912616	1.922068
423.656677	380000	1.909484	1.909484	1.909484	1.734305	2.119767	1.865150	1.830255	1.943344	1.928070
423.731049	385000	1.901314	1.901314	1.901314	1.816200	1.850995	1.699596	1.868579	1.933039	1.898508
423.807251	390000	1.892208	1.892208	1.892208	1.623904	1.782214	2.028398	1.997212	1.874103	1.930628
423.882568	395000	1.884959	1.884959	1.884959	1.892506	1.789869	1.928826	1.875589	1.894074	1.896631
423.949066	400000	1.876189	1.876189	1.876189	1.556662	1.807828	1.907532	1.873592	1.910979	1.902213
424.024750	405000	1.868035	1.868035	1.868035	1.618123	1.810938	2.005113	1.820565	1.879756	1.871009
424.087463	410000	1.861962	1.861962	1.861962	1.767409	1.774938	1.808400	1.951768	1.883161	1.842612
424.157196	415000	1.854901	1.854901	1.854901	2.000000	1.846040	1.849027	1.846122	1.816649	1.842578
424.226257	420000	1.847418	1.847418	1.847418	1.854599	1.718656	1.868024	1.863217	1.896475	1.856710
424.292328	425000	1.840605	1.840605	1.840605	2.012882	1.741553	1.798521	1.737082	1.835272	1.853679
424.351776	430000	1.833323	1.833323	1.833323	2.211411	1.772893	1.778924	1.882268	1.848697	1.849128
424.415558	435000	1.826047	1.826047	1.826047	2.085071	1.706485	1.706958	1.861497	1.880360	1.801010
424.478943	440000	1.818815	1.818815	1.818815	1.963094	1.901141	1.869901	1.754583	1.812334	1.814269
424.543488	445000	1.811514	1.811514	1.811514	2.150537	1.799370	1.830328	1.897699	1.802617	1.790854
424.605042	450000	1.806636	1.806636	1.806636	1.719986	1.847404	1.789309	1.824525	1.762767	1.833695
424.668610	455000	1.799526	1.799526	1.799526	1.955417	1.787151	1.749207	1.736449	1.863193	1.794587
424.725555	460000	1.792947	1.792947	1.792947	2.117747	1.520566	1.906669	1.817104	1.807813	1.833071
424.791016	465000	1.786422	1.786422	1.786422	1.423285	1.683643	1.868591	1.878703	1.801266	1.822967
424.849884	470000	1.780406	1.780406	1.780406	2.095557	1.817191	1.807542	1.782633	1.800004	1.776181
424.906738	475000	1.775010	1.775010	1.775010	1.871257	1.969085	1.733215	1.772987	1.762852	1.750819
424.967010	480000	1.768488	1.768488	1.768488	1.966955	1.860985	1.750241	1.782468	1.822460	1.773080
425.018372	485000	1.762492	1.762492	1.762492	1.876173	1.654260	1.873887	1.704983	1.762664	1.788729
425.072083	490000	1.757753	1.757753	1.757753	1.773679	1.872309	1.677465	1.733583	1.752052	1.730246
425.128265	495000	1.752431	1.752431	1.752431	1.776830	1.698514	1.740530	1.637535	1.730182	1.736648
425.183075	500000	1.748496	1.748496	1.748496	2.205558	2.049810	1.747145	1.690194	1.756296	1.753543
425.235474	505000	1.742754	1.742754	1.742754	1.725328	1.575548	1.762503	1.643407	1.712735	1.736786
425.288208	510000	1.737958	1.737958	1.737958	1.932741	1.737167	1.718841	1.835105	1.753505	1.723978
425.344147	515000	1.733305	1.733305	1.733305	1.822822	1.777620	1.678028	1.706729	1.710814	1.769435
